claim_text,image_path,label,source_dataset
Allergan Receives FDA Clearance For the CoolSculpting® Treatment To Improve Appearance Of Lax Tissue In The Double Chin,data/raw/images/fakehealth/fh_news_reviews_00133_00115.jpg,0,fakehealth
Healthy Diet May Help Kidney Disease Patients Live Longer,data/raw/images/fakehealth/fh_news_reviews_00317_00130.jpg,1,fakehealth
Device Keeps Donor Kidneys Healthy Outside the Body Until Transplant,data/raw/images/fakehealth/fh_news_reviews_00114_00134.jpg,0,fakehealth
Mayo Clinic finds surprising results on first-ever test of stem cell therapy to treat arthritis,data/raw/images/fakehealth/fh_news_reviews_00319_00135.jpg,1,fakehealth
Using Radar to Make Breast Surgery Easier for Women,data/raw/images/fakehealth/fh_news_reviews_00151_00139.jpg,1,fakehealth
Clinical study finds a specialized lollipop can end a kid's earache in nine of ten cases,data/raw/images/fakehealth/fh_news_reviews_00496_00145.jpg,0,fakehealth
Multivitamins in pregnancy may be linked to lower autism risk in children,data/raw/images/fakehealth/fh_news_reviews_00160_00151.jpg,1,fakehealth
Cognitive Behavioral Therapy Can Be as Effective as Second-Generation Antidepressants to Treat Major Depressive Disorder,data/raw/images/fakehealth/fh_news_reviews_00506_00155.jpg,1,fakehealth
Cedars-Sinai Surgeon Uses New Device to Perform First-Ever Surgery,data/raw/images/fakehealth/fh_news_reviews_00005_00158.jpg,0,fakehealth
CVS Health Research Institute Study Shows that Home Infusion Care Improves Patient Outcomes and Quality of Life While Reducing Overall Costs,data/raw/images/fakehealth/fh_news_reviews_00436_00164.jpg,1,fakehealth
"HSRx Group's Acne Product Outperforms Market Leader in Clinical Trial; Demonstrates Faster Reduction of Acne Count, Redness & Severity",data/raw/images/fakehealth/fh_news_reviews_00518_00166.jpg,0,fakehealth
Can an iPad Help You See?,data/raw/images/fakehealth/fh_news_reviews_00457_00172.jpg,1,fakehealth
Palliative Care Consults for Patients with Advanced Cancers Reduces Hospitalization and Improves Quality of Care,data/raw/images/fakehealth/fh_news_reviews_00262_00174.jpg,1,fakehealth
Multiple Studies Show Freespira® Eliminates Panic Attacks in 80% of Patients,data/raw/images/fakehealth/fh_news_reviews_00087_00176.jpg,0,fakehealth
"Simple Electrocardiogram Can Determine Whether a Patient Has Major Depression or Bipolar Disorder, Study Finds",data/raw/images/fakehealth/fh_news_reviews_00141_00180.jpg,0,fakehealth
UNC Hearing Loss Experts Lead Clinical Trials of FDA-Approved Hearing Implant,data/raw/images/fakehealth/fh_news_reviews_00358_00184.jpg,0,fakehealth
Celator Announces Phase 3 Trial for VYXEOS™ (CPX-351) in Patients with High-Risk Acute Myeloid Leukemia Demonstrates Statistically Significant Improvement in Overall Survival,data/raw/images/fakehealth/fh_news_reviews_00464_00185.jpg,1,fakehealth
HPV Vaccine Can Protect Women Across a Broad Age Range,data/raw/images/fakehealth/fh_news_reviews_00394_00191.jpg,0,fakehealth
"Two-year, EU-funded Study Reveals a Medical Food in the Form of a Daily Nutritional Drink Can Help to Conserve Memory, the Ability to Think and Perform Everyday Tasks, as well as Reduce Brain Shrinkag",data/raw/images/fakehealth/fh_news_reviews_00466_00193.jpg,0,fakehealth
Life Extension-supported study published in Lancet Neurology finds green tea extract improves cognition in Down Syndrome,data/raw/images/fakehealth/fh_news_reviews_00388_00198.jpg,1,fakehealth
PCSK9-Inhibitor Drug Class That Grew Out of UT Southwestern Research Becomes a Game-Changer for Patient with Extremely High Cholesterol,data/raw/images/fakehealth/fh_news_reviews_00472_00205.jpg,0,fakehealth
New Data Shows Irreversible Electroporation Nearly Doubles Overall Survival of Patients with Locally Advanced Pancreatic Cancer When Added to Standard Therapy,data/raw/images/fakehealth/fh_news_reviews_00597_00213.jpg,0,fakehealth
Oramed Announces Positive Top-Line Results from Phase IIb Oral Insulin Study,data/raw/images/fakehealth/fh_news_reviews_00427_00216.jpg,1,fakehealth
Braeburn Pharmaceuticals and Camurus announce positive top line results from Phase 2 opioid challenge study with CAM2038 in subjects with opioid use disorder,data/raw/images/fakehealth/fh_news_reviews_00431_00218.jpg,0,fakehealth
Active Surveillance Preserves Quality of Life for Prostate Cancer Patients,data/raw/images/fakehealth/fh_news_reviews_00260_00223.jpg,1,fakehealth
More than 1000 Lives Reported Saved with Help of EVZIO® (naloxone HCl injection) Auto-injectors,data/raw/images/fakehealth/fh_news_reviews_00454_00227.jpg,1,fakehealth
Omega-3 Fatty Acids May Lower Breast Cancer Risk in Postmenopausal Obese Women,data/raw/images/fakehealth/fh_news_reviews_00476_00231.jpg,1,fakehealth
Concussion can now be diagnosed with 95 percent specificity,data/raw/images/fakehealth/fh_news_reviews_00351_00233.jpg,0,fakehealth
"For women with history of pregnancy loss, walking may aid chance of becoming pregnant",data/raw/images/fakehealth/fh_news_reviews_00076_00234.jpg,1,fakehealth
Working up a sweat may protect men from lethal prostate cancer,data/raw/images/fakehealth/fh_news_reviews_00517_00236.jpg,1,fakehealth
High rates of satisfaction for applicator free local estrogen softgel ovule,data/raw/images/fakehealth/fh_news_reviews_00280_00237.jpg,0,fakehealth
Electro-acupuncture for disrupted sleep in women with breast cancer,data/raw/images/fakehealth/fh_news_reviews_00325_00238.jpg,0,fakehealth
Screening could prevent a quarter of hip fractures in older women,data/raw/images/fakehealth/fh_news_reviews_00131_00239.jpg,1,fakehealth
Common antibiotic may help to prevent or treat PTSD,data/raw/images/fakehealth/fh_news_reviews_00253_00240.jpg,0,fakehealth
New Peer-Reviewed Clinical Study Successfully Validates The Use Of Proove Opioid Risk® To Predict Prescription Opioid Abuse,data/raw/images/fakehealth/fh_news_reviews_00231_00241.jpg,0,fakehealth
Mangoes helped improve cardiovascular and gut health in women,data/raw/images/fakehealth/fh_news_reviews_00066_00242.jpg,0,fakehealth
Nanoparticles loaded with component of common spice kill cancer cells,data/raw/images/fakehealth/fh_news_reviews_00193_00243.jpg,0,fakehealth
"KVK Tech Announces FDA-Approval of Lomaira™ (phentermine hydrochloride USP) 8 mg tablets, CIV, A Low-Cost, Low-Dose Phentermine That Can Be Used Up To Three Times Daily for Weight Reduction",data/raw/images/fakehealth/fh_news_reviews_00360_00244.jpg,1,fakehealth
"Vegetarian diets almost twice as effective in reducing body weight, study finds",data/raw/images/fakehealth/fh_news_reviews_00216_00245.jpg,0,fakehealth
"Oregano, Thyme May Hold the Cure for Wasting Syndrome Disease",data/raw/images/fakehealth/fh_news_reviews_00191_00246.jpg,0,fakehealth
Free lung-cancer screening in the Augusta area finds more than double the cancer rate of previous screenings,data/raw/images/fakehealth/fh_news_reviews_00266_00247.jpg,1,fakehealth
"Treating First Time Shoulder Dislocations with Surgery Can Benefit Young Athletes, Study Shows",data/raw/images/fakehealth/fh_news_reviews_00397_00249.jpg,0,fakehealth
"Migraine surgery produces 'dramatic improvements' in functioning, study finds",data/raw/images/fakehealth/fh_news_reviews_00127_00250.jpg,0,fakehealth
Simple measures can reduce post-operative cognitive dysfunction in older patients,data/raw/images/fakehealth/fh_news_reviews_00403_00251.jpg,1,fakehealth
Measuring new hormone may reduce teenagers wrongly diagnosed with PCOS,data/raw/images/fakehealth/fh_news_reviews_00364_00252.jpg,1,fakehealth
Theranostic drug personalizes prostate cancer imaging and therapy,data/raw/images/fakehealth/fh_news_reviews_00574_00253.jpg,0,fakehealth
Proton therapy controls common pediatric brain tumor with fewer long-term side effects,data/raw/images/fakehealth/fh_news_reviews_00488_00255.jpg,1,fakehealth
Good long-term improvement after 'reverse' shoulder replacement in patients under 60,data/raw/images/fakehealth/fh_news_reviews_00152_00257.jpg,1,fakehealth
"Cardiac stem cells from young hearts could rejuvenate old hearts, new study shows",data/raw/images/fakehealth/fh_news_reviews_00185_00258.jpg,0,fakehealth
FDA approves Trulance for Chronic Idiopathic Constipation,data/raw/images/fakehealth/fh_news_reviews_00292_00259.jpg,1,fakehealth
FDA allows marketing of cooling cap to reduce hair loss during chemotherapy,data/raw/images/fakehealth/fh_news_reviews_00505_00261.jpg,1,fakehealth
New cancer drug can prevent reactions to common airborne allergens,data/raw/images/fakehealth/fh_news_reviews_00227_00262.jpg,0,fakehealth
New Biochip-Based Blood Test Detects Elevated Risk for Alzheimer's Disease,data/raw/images/fakehealth/fh_news_reviews_00385_00263.jpg,0,fakehealth
Promising New Leprosy Vaccine Moves Into Human Trials,data/raw/images/fakehealth/fh_news_reviews_00157_00264.jpg,1,fakehealth
Yes Please to Yogurt and Cheese: The New Improved Mediterranean Diet,data/raw/images/fakehealth/fh_news_reviews_00003_00265.jpg,0,fakehealth
Stem Cells Shows Promise For Repairing Torn Meniscus,data/raw/images/fakehealth/fh_news_reviews_00054_00267.jpg,0,fakehealth
FDA approves Intrarosa for postmenopausal women experiencing pain during sex,data/raw/images/fakehealth/fh_news_reviews_00327_00268.jpg,1,fakehealth
"Curcumin Improves Memory and Mood, New UCLA Study Says",data/raw/images/fakehealth/fh_news_reviews_00119_00271.jpg,0,fakehealth
"International Study Finds Effective, Less Toxic Way to Treat Brain Tumors",data/raw/images/fakehealth/fh_news_reviews_00389_00274.jpg,1,fakehealth
"Devenish Announces World's First Naturally Enriched Omega-3 Chicken and Eggs With Proven Health Claims - Likely to Reduce Risk of Heart Attack, Stroke, Dementia and Depression",data/raw/images/fakehealth/fh_news_reviews_00143_00276.jpg,0,fakehealth
Breakthrough Study Stops Fat-Eating Prostate Cancer Cells,data/raw/images/fakehealth/fh_news_reviews_00232_00277.jpg,0,fakehealth
First-in-Canada Implant of Novel Sensor Device for Heart Failure Patients,data/raw/images/fakehealth/fh_news_reviews_00210_00280.jpg,0,fakehealth
Increasing the Odds of Prostate Cancer Detection,data/raw/images/fakehealth/fh_news_reviews_00387_00287.jpg,0,fakehealth
New Data From the Elekta Lung Research Group Support the use of Stereotactic Body Radiation Therapy in Elderly Patients With Early-stage Lung Cancer,data/raw/images/fakehealth/fh_news_reviews_00213_00291.jpg,0,fakehealth
Statins May Provide Treatment Alternative for Chronic Liver Disease,data/raw/images/fakehealth/fh_news_reviews_00257_00293.jpg,1,fakehealth
Pre and Post Testing Show Reversal of Memory Loss From Alzheimer’s Disease in Ten Patients,data/raw/images/fakehealth/fh_news_reviews_00407_00296.jpg,0,fakehealth
Chrono Therapeutics' Smoking Cessation Technology Demonstrates Significant Reduction in Nicotine Cravings,data/raw/images/fakehealth/fh_news_reviews_00469_00298.jpg,0,fakehealth
Cannabis Derivative Cannabidiol Reduces Seizures in Severe Epilepsy Disorder,data/raw/images/fakehealth/fh_news_reviews_00224_00299.jpg,1,fakehealth
Annual Mammography Starting at Age 40 Still Best Way to Saves Lives from Breast Cancer,data/raw/images/fakehealth/fh_news_reviews_00543_00301.jpg,1,fakehealth
Clinical Study Verifies HSRx OTC Drug Product For Joint Pain Delivers Faster And More Effective Treatment Results Than A Current Market Leading Product,data/raw/images/fakehealth/fh_news_reviews_00332_00305.jpg,0,fakehealth
First-ever prostate cancer treatment uses gold nanoparticles to destroy tumorous cells,data/raw/images/fakehealth/fh_news_reviews_00014_00311.jpg,0,fakehealth
FDA approves new psoriasis drug,data/raw/images/fakehealth/fh_news_reviews_00281_00316.jpg,1,fakehealth
"Massage Therapy May Boost Immune System to Combat Cold, Flu",data/raw/images/fakehealth/fh_news_reviews_00527_00318.jpg,0,fakehealth
California man's research leads him to Beaumont's Proton Therapy Center in Michigan,data/raw/images/fakehealth/fh_news_reviews_00061_00325.jpg,0,fakehealth
"New Breast Reconstruction Technique Provides Better Outcomes, Less Discomfort for Women Recovering From Breast Cancer",data/raw/images/fakehealth/fh_news_reviews_00470_00326.jpg,0,fakehealth
Impact of first federally funded anti-smoking ad campaign remains strong after three years,data/raw/images/fakehealth/fh_news_reviews_00459_00335.jpg,1,fakehealth
Rush is First to Use Microburst Vagus Nerve Stimulation for Drug-Resistant Epilepsy,data/raw/images/fakehealth/fh_news_reviews_00075_00338.jpg,0,fakehealth
New Data Establishes Image Guided Treatment Option for Prostate Cancer as an Alternative to Surgery by Reducing Recovery Times and Lower Side Effects,data/raw/images/fakehealth/fh_news_reviews_00510_00339.jpg,0,fakehealth
Single Dose of Hallucinogenic Drug Psilocybin Relieves Anxiety and Depression in Patients with Advanced Cancer,data/raw/images/fakehealth/fh_news_reviews_00322_00346.jpg,1,fakehealth
Alzheimer's Disease Prevention: New Journal Article Highlights Benefits of Meditation and Spiritual Fitness,data/raw/images/fakehealth/fh_news_reviews_00564_00349.jpg,1,fakehealth
Study Results Published in JAMA Conclude that 3D MAMMOGRAPHY™ Exams Outperform Conventional Mammography for Women with Both Dense and Nondense Breasts,data/raw/images/fakehealth/fh_news_reviews_00438_00360.jpg,0,fakehealth
FDA approves Epclusa for treatment of chronic Hepatitis C virus infection,data/raw/images/fakehealth/fh_news_reviews_00400_00373.jpg,1,fakehealth
Viscosupplementation Recommended For Appropriate Patients with Knee Osteoarthritis,data/raw/images/fakehealth/fh_news_reviews_00519_00374.jpg,0,fakehealth
Noninvasive Imaging Test Shown Accurate in Ruling Out Kidney Cancers,data/raw/images/fakehealth/fh_news_reviews_00243_00376.jpg,1,fakehealth
Are You At Risk? 5 Different Types of Prostate Cancer Found,data/raw/images/fakehealth/fh_news_reviews_00552_00377.jpg,0,fakehealth
FDA Approves Bayer's Kyleena™ (Levonorgestrel-Releasing Intrauterine System) 19.5 mg for Prevention of Pregnancy for up to Five Years,data/raw/images/fakehealth/fh_news_reviews_00361_00379.jpg,1,fakehealth
"Allergan Granted Marketing Authorization by the FDA for TrueTear™, the First Intranasal Neurostimulating Device Proven to Temporarily Increase Tear Production",data/raw/images/fakehealth/fh_news_reviews_00241_00381.jpg,0,fakehealth
SBRT Offers Curative Option for Lung Cancer Patients Age 80 and Older,data/raw/images/fakehealth/fh_news_reviews_00261_00388.jpg,0,fakehealth
Blood Test Predicts Treatment Response and Survival for Patients with Metastatic Prostate Cancer,data/raw/images/fakehealth/fh_news_reviews_00059_00397.jpg,0,fakehealth
XARELTO® (rivaroxaban) Associated with Significantly Reduced Time in Hospital and Decreased Costs Compared to Standard of Care in New Study of Patients with Low-Risk Pulmonary Embolism (PE),data/raw/images/fakehealth/fh_news_reviews_00064_00399.jpg,1,fakehealth
Estrogen Patch in Newly Postmenopausal Women May Reduce Alzheimer’s Risk,data/raw/images/fakehealth/fh_news_reviews_00393_00400.jpg,1,fakehealth
Fecal transplant effective against immunotherapy-induced colitis,data/raw/images/fakehealth/fh_news_reviews_00015_00401.jpg,0,fakehealth
First-Ever Rapid Response Test for Levels of Bifidobacterium in Baby's Gut Microbiome,data/raw/images/fakehealth/fh_news_reviews_00032_00408.jpg,0,fakehealth
New Real-World Study Finds Long-Term XARELTO® (rivaroxaban) Use Resulted in Fewer Strokes and Systemic Emboli Compared to Warfarin in Frail Patients with Non-Valvular Atrial Fibrillation,data/raw/images/fakehealth/fh_news_reviews_00070_00412.jpg,0,fakehealth
‘Miracle Patient’ Finds New Hope with Breast Cancer Vaccine,data/raw/images/fakehealth/fh_news_reviews_00311_00423.jpg,0,fakehealth
Studies Show Oral Testosterone Safe and Efficacious in Long-term Management of Hypogonadism,data/raw/images/fakehealth/fh_news_reviews_00430_00424.jpg,1,fakehealth
HETLIOZ® (tasimelteon) Demonstrates Efficacy to Treat Jet Lag Disorder in an 8 Hour Phase Advance Clinical Study,data/raw/images/fakehealth/fh_news_reviews_00102_00426.jpg,0,fakehealth
Immunotherapy Drug Becomes First Therapy Approved by FDA for Rare Skin Cancer,data/raw/images/fakehealth/fh_news_reviews_00259_00427.jpg,1,fakehealth
Lung Cancer Breath ‘Signature’ Presents Promise for Earlier Diagnosis,data/raw/images/fakehealth/fh_news_reviews_00414_00432.jpg,1,fakehealth
Creative Medical Technology Holdings Announces Commercialization of patented Stem Cell Procedure for Erectile Dysfunction,data/raw/images/fakehealth/fh_news_reviews_00155_00435.jpg,0,fakehealth
Shire Announces Positive Results of SHP465 Safety and Efficacy Study in Children and Adolescents with ADHD,data/raw/images/fakehealth/fh_news_reviews_00448_00450.jpg,1,fakehealth
New Non-Surgical Treatment Freezes Breast Cancer in its Tracks,data/raw/images/fakehealth/fh_news_reviews_00532_00459.jpg,1,fakehealth
Nucleix Announces Positive Clinical Results for Lung EpiCheck in Early Detection of Lung Cancer,data/raw/images/fakehealth/fh_news_reviews_00036_00460.jpg,0,fakehealth
Gastric Balloon in a Pill Helps Patients Lose Weight Without Surgery or Endoscopy,data/raw/images/fakehealth/fh_news_reviews_00523_00461.jpg,1,fakehealth
Weekly Non-invasive Brain Stimulation Provides Long-Term Relief of Post-Stroke Pain,data/raw/images/fakehealth/fh_news_reviews_00576_00464.jpg,1,fakehealth
Want a Better Memory? Try Eating a Mediterranean Diet,data/raw/images/fakehealth/fh_news_reviews_00380_00465.jpg,0,fakehealth
Could Body Posture During Sleep Affect How Your Brain Clears Waste?,data/raw/images/fakehealth/fh_news_reviews_00559_00467.jpg,0,fakehealth
Amgen Announces Repatha® (Evolocumab) Significantly Reduced The Risk Of Cardiovascular Events In FOURIER Outcomes Study,data/raw/images/fakehealth/fh_news_reviews_00288_00474.jpg,1,fakehealth
Cancer drug 49 times more potent than Cisplatin,data/raw/images/fakehealth/fh_news_reviews_00566_00476.jpg,1,fakehealth
Preliminary Data from Study Demonstrates 94% Accuracy in Detecting Aggressive Prostate Cancer,data/raw/images/fakehealth/fh_news_reviews_00044_00478.jpg,0,fakehealth
Reducing Radiation Successfully Treats HPV-Positive Oropharynx Cancers and Minimizes Side Effects,data/raw/images/fakehealth/fh_news_reviews_00309_00481.jpg,0,fakehealth
Joslin Researchers Conduct First Trial Directly Comparing Drugs for Diabetic Macular Edema and Find All are Effective,data/raw/images/fakehealth/fh_news_reviews_00604_00485.jpg,1,fakehealth
Vitamin C May Reduce Harm to Infants’ Lungs Caused by Smoking During Pregnancy;,data/raw/images/fakehealth/fh_news_reviews_00006_00487.jpg,0,fakehealth
Growth hormone reduces risk of osteoporosis fractures in older women,data/raw/images/fakehealth/fh_news_reviews_00551_00488.jpg,0,fakehealth
Medimetriks announces the results of a successful Phase 2 trial of MM36 in Atopic Dermatitis; Study results and design published in the Journal of the American Academy of Dermatology (JAAD),data/raw/images/fakehealth/fh_news_reviews_00421_00495.jpg,1,fakehealth
"New Study Shows Ketamine May Regenerate Brain Cells, Relieving Depression with Lasting Benefit",data/raw/images/fakehealth/fh_news_reviews_00463_00497.jpg,0,fakehealth
Strategic brain training positively affects neural connectivity for individuals with TBI,data/raw/images/fakehealth/fh_news_reviews_00225_00498.jpg,1,fakehealth
Breast MRI after mammography may identify additional aggressive cancers,data/raw/images/fakehealth/fh_news_reviews_00513_00509.jpg,1,fakehealth
UT Southwestern research shows 98 percent cure rate for prostate cancer using SBRT,data/raw/images/fakehealth/fh_news_reviews_00444_00511.jpg,0,fakehealth
Breast cancer prognosis of African-American patients may improve with chemotherapy before surgery,data/raw/images/fakehealth/fh_news_reviews_00295_00512.jpg,1,fakehealth
Surgical probe seeks out where cancer ends and healthy tissue begins,data/raw/images/fakehealth/fh_news_reviews_00547_00514.jpg,1,fakehealth
Therapy proves effective in subgroup of COPD patients,data/raw/images/fakehealth/fh_news_reviews_00170_00515.jpg,1,fakehealth
New drug clears psoriasis in clinical trials,data/raw/images/fakehealth/fh_news_reviews_00412_00516.jpg,1,fakehealth
Exact Sciences and Mayo Clinic study shows promise of new blood-based lung cancer test,data/raw/images/fakehealth/fh_news_reviews_00272_00517.jpg,1,fakehealth
Low-dose lithium reduces side effects from most common treatment for Parkinson's disease,data/raw/images/fakehealth/fh_news_reviews_00562_00518.jpg,1,fakehealth
New study from KKI shows feasibility of acupuncture in young children with ASD,data/raw/images/fakehealth/fh_news_reviews_00212_00519.jpg,0,fakehealth
Investigational dose of oral interferon-free treatment can cure hepatitis C in children,data/raw/images/fakehealth/fh_news_reviews_00244_00520.jpg,1,fakehealth
Anti-rejection medications for transplant recipients protect against Alzheimer's disease,data/raw/images/fakehealth/fh_news_reviews_00577_00528.jpg,1,fakehealth
New apps designed to reduce depression and anxiety as easily as checking your phone,data/raw/images/fakehealth/fh_news_reviews_00306_00529.jpg,1,fakehealth
"Soy, cruciferous vegetables associated with fewer common breast cancer treatment side effects",data/raw/images/fakehealth/fh_news_reviews_00134_00530.jpg,1,fakehealth
"Anti-inflammatory drugs could help treat symptoms of depression, study suggests",data/raw/images/fakehealth/fh_news_reviews_00345_00531.jpg,1,fakehealth
"Timely use of Novartis' Entresto could prevent or postpone over 28,000 US deaths per year among HFrEF patients, according to an expert analysis in JAMA Cardiology",data/raw/images/fakehealth/fh_news_reviews_00405_00532.jpg,1,fakehealth
UTA researcher patents “roach motel” for cancer,data/raw/images/fakehealth/fh_news_reviews_00073_00533.jpg,0,fakehealth
Older patients with knee pain may benefit from allograft transplant technique,data/raw/images/fakehealth/fh_news_reviews_00057_00534.jpg,0,fakehealth
Generic heart medication shown to prolong ovarian cancer patients' survival,data/raw/images/fakehealth/fh_news_reviews_00554_00535.jpg,1,fakehealth
Scientifically-designed fasting diet lowers risks for major diseases,data/raw/images/fakehealth/fh_news_reviews_00279_00536.jpg,0,fakehealth
Novel Imaging Technique Improves Prostate Cancer Detection,data/raw/images/fakehealth/fh_news_reviews_00586_00537.jpg,0,fakehealth
Novel Test Distinguishes Atypical Moles From Melanoma,data/raw/images/fakehealth/fh_news_reviews_00369_00538.jpg,1,fakehealth
"Study Reveals Ways to Improve Outcomes, Reduce Costs for Common Heart Procedure",data/raw/images/fakehealth/fh_news_reviews_00276_00539.jpg,1,fakehealth
"Self-Adhesive Dressing Generates Electrical Current That Promotes Healing, Reduces Infection Risk",data/raw/images/fakehealth/fh_news_reviews_00353_00540.jpg,1,fakehealth
"Peanuts, peanut butter may hold key to preventing obesity",data/raw/images/fakehealth/fh_news_reviews_00468_00541.jpg,0,fakehealth
Prevention of Genetic Breast Cancer Within Reach,data/raw/images/fakehealth/fh_news_reviews_00419_00544.jpg,0,fakehealth
